name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW250114_082203,GW250114_082203-v1,1420878141.2,1,O4_Discovery_Papers,https://doi.org/10.7935/1g4j-2028,https://gwosc.org/api/v2/event-versions/GW250114_082203-v1,33.6,-0.8,1.2,32.2,-1.3,0.8,,,,403.0,-70.0,74.0,-0.03,-0.04,0.03,65.8,-1.2,1.1,28.6,-0.5,0.5,,,,0.09,-0.01,0.01,,,,,,,62.7,-1.1,1.0
GW241110_124123,GW241110_124123-v1,1415277701.7,1,O4_Discovery_Papers,https://doi.org/10.7935/46xh-t016,https://gwosc.org/api/v2/event-versions/GW241110_124123-v1,17.2,-4.4,5.0,7.7,-1.5,2.2,,,,736.0,-267.0,270.0,-0.28,-0.2,0.23,,,,9.8,-0.4,0.5,,,,,,,0.00063,,,,,,,,
GW241011_233834,GW241011_233834-v1,1412725132.9,1,O4_Discovery_Papers,https://doi.org/10.7935/3drz-8m81,https://gwosc.org/api/v2/event-versions/GW241011_233834-v1,19.6,-2.5,3.6,5.9,-0.8,0.8,,,,214.0,-48.0,44.0,0.49,-0.07,0.06,,,,9.1,-0.1,0.1,,,,,,,1e-05,,,,,,,,
GW240109_050431,GW240109_050431-v1,1388811889.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240109_050431-v1,28.8,-6.2,7.5,18.1,-4.1,4.8,10.4,,,1510.0,-770.0,1010.0,-0.07,-0.23,0.2,47.1,-5.7,6.7,19.6,-2.2,2.7,,,,0.29,-0.13,0.16,0.00022999999999999998,,,0.99,,,45.1,-5.5,6.5
GW240107_013215,GW240107_013215-v1,1388626353.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240107_013215-v1,59.0,-18.0,27.0,32.0,-16.0,20.0,9.6,,,5800.0,-3200.0,4800.0,0.3,-0.36,0.3,91.0,-20.0,29.0,36.2,-9.5,14.0,,,,0.87,-0.43,0.56,0.028,,,0.99,,,87.0,-19.0,28.0
GW240105_151143,GW240105_151143-v1,1388502721.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240105_151143-v1,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,3.3,,,0.7,,,,,
GW240104_164932,GW240104_164932-v1,1388422190.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240104_164932-v1,42.3,-6.7,9.4,32.1,-8.0,7.5,14.8,,,1910.0,-950.0,1090.0,0.09,-0.19,0.19,74.3,-8.5,11.4,31.8,-3.9,5.1,,,,0.35,-0.16,0.16,1e-05,,,0.99,,,70.6,-7.9,10.7
GW231231_154016,GW231231_154016-v1,1388072434.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231231_154016-v1,22.5,-3.3,5.7,17.2,-3.2,2.9,13.4,,,1070.0,-530.0,600.0,-0.03,-0.12,0.12,39.9,-3.4,4.1,17.1,-1.4,1.6,,,,0.21,-0.1,0.1,1e-05,,,0.99,,,38.1,-3.2,4.0
GW231231_120147,GW231231_120147-v1,1388059325.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231231_120147-v1,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,4.5,,,0.86,,,,,
GW231230_170116,GW231230_170116-v1,1387990895.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231230_170116-v1,54.0,-15.0,50.0,35.0,-14.0,15.0,8.2,,,5700.0,-3200.0,4800.0,-0.19,-0.35,0.34,89.0,-20.0,49.0,36.9,-8.4,14.3,,,,0.87,-0.43,0.56,0.42,,,0.96,,,85.0,-19.0,47.0
GW231226_101520,GW231226_101520-v1,1387620938.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231226_101520-v1,40.1,-2.9,4.4,35.0,-4.9,3.2,34.7,,,1180.0,-350.0,240.0,-0.09,-0.1,0.09,74.8,-3.0,4.1,32.4,-1.4,1.8,,,,0.23,-0.06,0.04,1e-05,,,0.99,,,71.4,-2.8,3.8
GW231224_024321,GW231224_024321-v1,1387421020.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231224_024321-v1,9.3,-1.1,2.2,7.3,-1.3,1.0,14.0,,,950.0,-400.0,290.0,-0.01,-0.06,0.08,16.66,-0.78,1.29,7.13,-0.29,0.48,,,,0.19,-0.07,0.05,1e-05,,,0.99,,,15.89,-0.76,1.26
GW231223_202619,GW231223_202619-v1,1387398397.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_202619-v1,11.1,-1.6,3.8,8.3,-1.9,1.4,10.0,,,890.0,-440.0,490.0,0.1,-0.11,0.13,19.6,-1.5,2.2,8.36,-0.57,0.66,,,,0.18,-0.08,0.08,0.002,,,0.99,,,18.7,-1.5,2.2
GW231223_075055,GW231223_075055-v1,1387353073.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_075055-v1,11.9,-2.8,6.8,6.8,-2.1,2.0,9.4,,,970.0,-430.0,580.0,0.06,-0.12,0.22,19.0,-2.0,4.6,7.79,-0.59,0.58,,,,0.19,-0.08,0.1,0.55,,,0.98,,,18.1,-1.9,4.8
GW231223_032836,GW231223_032836-v1,1387337334.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_032836-v1,46.0,-11.0,16.0,31.0,-14.0,12.0,10.2,,,4200.0,-2100.0,3100.0,-0.15,-0.37,0.33,76.0,-13.0,18.0,31.8,-7.0,8.6,,,,0.67,-0.3,0.39,0.00038,,,0.99,,,73.0,-13.0,17.0
GW231221_135041,GW231221_135041-v1,1387201859.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231221_135041-v1,47.0,-13.0,21.0,28.0,-13.0,13.0,10.0,,,4600.0,-2500.0,3700.0,0.01,-0.38,0.36,76.0,-15.0,21.0,30.7,-6.8,9.5,,,,0.73,-0.36,0.45,0.54,,,0.96,,,72.0,-15.0,20.0
